year,geography,metric,unit,vector,value,decimals
1998,Canada,Crime severity index,Index,v44312461,118.84,2
1998,Canada,Violent crime severity index,Index,v44312463,97.8,2
1998,Canada,Non-violent crime severity index,Index,v44312465,126.93,2
1998,Canada,Youth crime severity index,Index,v53079455,110.24,2
1998,Canada,Youth violent crime severity index,Index,v53079457,86.59,2
1998,Canada,Youth non-violent crime severity index,Index,v53079447,128.25,2
1998,Canada,Weighted clearance rate,Number,v53079449,34.06,2
1998,Canada,Violent weighted clearance rate,Number,v53079451,55.66,2
1998,Canada,Non-violent weighted clearance rate,Number,v53079453,27.66,2
1998,Canada,Percent change in non-violent weighted clearance rate,Percent,v53079454,,2
1998,Newfoundland and Labrador,Crime severity index,Index,v44312467,76.38,2
1998,Newfoundland and Labrador,Violent crime severity index,Index,v44312469,58.43,2
1998,Newfoundland and Labrador,Non-violent crime severity index,Index,v44312471,83.28,2
1998,Newfoundland and Labrador,Youth crime severity index,Index,v53079560,109.72,2
1998,Newfoundland and Labrador,Youth violent crime severity index,Index,v53079562,55.73,2
1998,Newfoundland and Labrador,Youth non-violent crime severity index,Index,v53079552,150.84,2
1998,Newfoundland and Labrador,Weighted clearance rate,Number,v53079554,41.91,2
1998,Newfoundland and Labrador,Violent weighted clearance rate,Number,v53079556,62.81,2
1998,Newfoundland and Labrador,Non-violent weighted clearance rate,Number,v53079558,36.27,2
1998,Newfoundland and Labrador,Percent change in non-violent weighted clearance rate,Percent,v53079559,,2
1998,"St. John's, Newfoundland and Labrador",Crime severity index,Index,v44312473,101.04,2
1998,"St. John's, Newfoundland and Labrador",Violent crime severity index,Index,v44312475,66.55,2
1998,"St. John's, Newfoundland and Labrador",Non-violent crime severity index,Index,v44312477,114.29,2
1998,"St. John's, Newfoundland and Labrador",Youth crime severity index,Index,v53079663,,2
1998,"St. John's, Newfoundland and Labrador",Youth violent crime severity index,Index,v53079664,,2
1998,"St. John's, Newfoundland and Labrador",Youth non-violent crime severity index,Index,v53079656,,2
1998,"St. John's, Newfoundland and Labrador",Weighted clearance rate,Number,v53079657,31.64,2
1998,"St. John's, Newfoundland and Labrador",Violent weighted clearance rate,Number,v53079659,52.62,2
1998,"St. John's, Newfoundland and Labrador",Non-violent weighted clearance rate,Number,v53079661,26.95,2
1998,"St. John's, Newfoundland and Labrador",Percent change in non-violent weighted clearance rate,Percent,v53079662,,2
1998,Prince Edward Island,Crime severity index,Index,v44312479,73.31,2
1998,Prince Edward Island,Violent crime severity index,Index,v44312481,57.83,2
1998,Prince Edward Island,Non-violent crime severity index,Index,v44312483,79.27,2
1998,Prince Edward Island,Youth crime severity index,Index,v53079773,50.33,2
1998,Prince Edward Island,Youth violent crime severity index,Index,v53079775,29.62,2
1998,Prince Edward Island,Youth non-violent crime severity index,Index,v53079765,66.11,2
1998,Prince Edward Island,Weighted clearance rate,Number,v53079767,50.45,2
1998,Prince Edward Island,Violent weighted clearance rate,Number,v53079769,75.4,2
1998,Prince Edward Island,Non-violent weighted clearance rate,Number,v53079771,43.45,2
1998,Prince Edward Island,Percent change in non-violent weighted clearance rate,Percent,v53079772,,2
1998,Nova Scotia,Crime severity index,Index,v44312485,105.4,2
1998,Nova Scotia,Violent crime severity index,Index,v44312487,84.95,2
1998,Nova Scotia,Non-violent crime severity index,Index,v44312489,113.26,2
1998,Nova Scotia,Youth crime severity index,Index,v53079875,105.21,2
1998,Nova Scotia,Youth violent crime severity index,Index,v53079877,75.28,2
1998,Nova Scotia,Youth non-violent crime severity index,Index,v53079867,128.01,2
1998,Nova Scotia,Weighted clearance rate,Number,v53079869,35.55,2
1998,Nova Scotia,Violent weighted clearance rate,Number,v53079871,58.55,2
1998,Nova Scotia,Non-violent weighted clearance rate,Number,v53079873,28.91,2
1998,Nova Scotia,Percent change in non-violent weighted clearance rate,Percent,v53079874,,2
1998,"Halifax, Nova Scotia",Crime severity index,Index,v44312491,134.13,2
1998,"Halifax, Nova Scotia",Violent crime severity index,Index,v44312493,110.54,2
1998,"Halifax, Nova Scotia",Non-violent crime severity index,Index,v44312495,143.2,2
1998,"Halifax, Nova Scotia",Youth crime severity index,Index,v53079885,,2
1998,"Halifax, Nova Scotia",Youth violent crime severity index,Index,v53079886,,2
1998,"Halifax, Nova Scotia",Youth non-violent crime severity index,Index,v53079878,,2
1998,"Halifax, Nova Scotia",Weighted clearance rate,Number,v53079879,28.95,2
1998,"Halifax, Nova Scotia",Violent weighted clearance rate,Number,v53079881,51.65,2
1998,"Halifax, Nova Scotia",Non-violent weighted clearance rate,Number,v53079883,22.21,2
1998,"Halifax, Nova Scotia",Percent change in non-violent weighted clearance rate,Percent,v53079884,,2
1998,New Brunswick,Crime severity index,Index,v44312497,89.98,2
1998,New Brunswick,Violent crime severity index,Index,v44312499,67.12,2
1998,New Brunswick,Non-violent crime severity index,Index,v44312501,98.77,2
1998,New Brunswick,Youth crime severity index,Index,v53079896,97.2,2
1998,New Brunswick,Youth violent crime severity index,Index,v53079898,55.97,2
1998,New Brunswick,Youth non-violent crime severity index,Index,v53079888,128.61,2
1998,New Brunswick,Weighted clearance rate,Number,v53079890,43.97,2
1998,New Brunswick,Violent weighted clearance rate,Number,v53079892,68.06,2
1998,New Brunswick,Non-violent weighted clearance rate,Number,v53079894,37.68,2
1998,New Brunswick,Percent change in non-violent weighted clearance rate,Percent,v53079895,,2
1998,"Saint John, New Brunswick",Crime severity index,Index,v44312503,101.24,2
1998,"Saint John, New Brunswick",Violent crime severity index,Index,v44312505,84.07,2
1998,"Saint John, New Brunswick",Non-violent crime severity index,Index,v44312507,107.84,2
1998,"Saint John, New Brunswick",Youth crime severity index,Index,v53079906,,2
1998,"Saint John, New Brunswick",Youth violent crime severity index,Index,v53079907,,2
1998,"Saint John, New Brunswick",Youth non-violent crime severity index,Index,v53079899,,2
1998,"Saint John, New Brunswick",Weighted clearance rate,Number,v53079900,41.93,2
1998,"Saint John, New Brunswick",Violent weighted clearance rate,Number,v53079902,58.43,2
1998,"Saint John, New Brunswick",Non-violent weighted clearance rate,Number,v53079904,36.98,2
1998,"Saint John, New Brunswick",Percent change in non-violent weighted clearance rate,Percent,v53079905,,2
1998,Quebec,Crime severity index,Index,v44312509,112.68,2
1998,Quebec,Violent crime severity index,Index,v44312511,90.47,2
1998,Quebec,Non-violent crime severity index,Index,v44312513,121.22,2
1998,Quebec,Youth crime severity index,Index,v53079917,89.55,2
1998,Quebec,Youth violent crime severity index,Index,v53079919,73.95,2
1998,Quebec,Youth non-violent crime severity index,Index,v53079909,101.43,2
